Column_0,Column_2,Column_4->Column_1
Column_0,Column_2,Column_5->Column_1
Column_0,Column_2,Column_6->Column_1
Column_0,Column_2,Column_7->Column_1
Column_0,Column_3,Column_4->Column_1
Column_0,Column_3,Column_5->Column_1
Column_0,Column_3,Column_6->Column_1
Column_0,Column_3,Column_7->Column_1
Column_0,Column_4,Column_6->Column_1
Column_0,Column_4,Column_7->Column_1
Column_0,Column_5,Column_6->Column_1
Column_0,Column_5,Column_7->Column_1
Column_0,Column_2,Column_4->Column_3
Column_0,Column_2,Column_5->Column_3
Column_0,Column_2,Column_6->Column_3
Column_0,Column_2,Column_7->Column_3
Column_1,Column_2,Column_4->Column_3
Column_1,Column_2,Column_5->Column_3
Column_1,Column_2,Column_6->Column_3
Column_1,Column_2,Column_7->Column_3
Column_2,Column_4,Column_6->Column_3
Column_2,Column_4,Column_7->Column_3
Column_2,Column_5,Column_6->Column_3
Column_2,Column_5,Column_7->Column_3
Column_0,Column_2,Column_4,Column_5->Column_1
Column_0,Column_2,Column_4,Column_5->Column_3
Column_0,Column_2,Column_4,Column_5->Column_6
Column_0,Column_2,Column_4,Column_5->Column_7
Column_0,Column_2,Column_4,Column_6->Column_1
Column_0,Column_2,Column_4,Column_6->Column_3
Column_0,Column_2,Column_4,Column_6->Column_5
Column_0,Column_2,Column_4,Column_6->Column_7
Column_0,Column_2,Column_4,Column_7->Column_1
Column_0,Column_2,Column_4,Column_7->Column_3
Column_0,Column_2,Column_4,Column_7->Column_5
Column_0,Column_2,Column_4,Column_7->Column_6
Column_0,Column_2,Column_5,Column_6->Column_1
Column_0,Column_2,Column_5,Column_6->Column_3
Column_0,Column_2,Column_5,Column_6->Column_4
Column_0,Column_2,Column_5,Column_6->Column_7
Column_0,Column_2,Column_5,Column_7->Column_1
Column_0,Column_2,Column_5,Column_7->Column_3
Column_0,Column_2,Column_5,Column_7->Column_4
Column_0,Column_2,Column_5,Column_7->Column_6
Column_0,Column_2,Column_6,Column_7->Column_1
Column_0,Column_2,Column_6,Column_7->Column_3
Column_0,Column_2,Column_6,Column_7->Column_4
Column_0,Column_2,Column_6,Column_7->Column_5
Column_0,Column_3,Column_4,Column_6->Column_1
Column_0,Column_3,Column_4,Column_6->Column_2
Column_0,Column_3,Column_4,Column_6->Column_5
Column_0,Column_3,Column_4,Column_6->Column_7
Column_0,Column_3,Column_4,Column_7->Column_1
Column_0,Column_3,Column_4,Column_7->Column_2
Column_0,Column_3,Column_4,Column_7->Column_5
Column_0,Column_3,Column_4,Column_7->Column_6
