Ground truth pairs,Inferred pairs,AutoFD,GL,AutoFD gd,Ground truth pairs extended,RFI-0.3
LVEDVOLUME -> PCWP,LVFAILURE -> HISTORY,LVEDVOLUME -> PCWP ,ARTCO2 -> CATECHOL,LVEDVOLUME -> PCWP,LVFAILURE -> HISTORY,
HYPOVOLEMIA -> LVEDVOLUME,SAO2 -> PVSAT,LVEDVOLUME -> HYPOVOLEMIA ,CATECHOL -> HREKG,LVEDVOLUME -> HYPOVOLEMIA,LVEDVOLUME -> CVP,
LVFAILURE -> LVEDVOLUME,HR -> HRBP,LVEDVOLUME -> CVP ,ARTCO2 -> FIO2,LVEDVOLUME -> CVP,LVEDVOLUME -> PCWP,
ARTCO2 -> EXPCO2,LVEDVOLUME -> PCWP,ERRCAUTER -> HREKG ,CATECHOL -> FIO2,LVFAILURE -> HISTORY,HYPOVOLEMIA -> LVEDVOLUME,
VENTLUNG -> EXPCO2,ERRLOWOUTPUT -> HRBP,ERRCAUTER -> HRSAT ,HREKG -> FIO2,VENTMACH-> VENTTUBE ,LVFAILURE  -> LVEDVOLUME,
FIO2 -> PVSAT,HR -> ERRLOWOUTPUT,HREKG -> HRSAT ,ARTCO2 -> SHUNT,VENTMACH -> MINVOLSET,LVFAILURE -> STROKEVOLUME,
VENTALV -> PVSAT,MINVOLSET -> VENTMACH,HREKG -> HR ,CATECHOL -> SHUNT,PVSAT -> VENTALV,HYPOVOLEMIA -> STROKEVOLUME,
PULMEMBOLUS -> PAP,HREKG -> HRSAT,HRSAT -> HR ,HREKG -> SHUNT,PVSAT-> ARTCO2,HR -> HRBP,
INTUBATION -> SHUNT,HR -> ERRCAUTER,ERRCAUTER -> PULMEMBOLUS ,FIO2 -> SHUNT,PVSAT -> VENTLUNG,ERRLOWOUTPUT -> HRBP,
PULMEMBOLUS -> SHUNT,PULMEMBOLUS -> SHUNT,HR -> PULMEMBOLUS ,ARTCO2 -> SAO2,VENTALV-> MINVOL,HR -> HREKG,
MINVOLSET -> VENTMACH,HR -> HRSAT,HR -> ERRLOWOUTPUT ,CATECHOL -> SAO2,VENTLUNG -> EXPCO2,ERRCAUTER -> HREKG,
DISCONNECT ->VENTTUBE,ARTCO2 -> PVSAT,PULMEMBOLUS -> ERRLOWOUTPUT ,HREKG -> SAO2,VENTALV -> INTUBATION,HR -> HRSAT,
VENTMACH -> VENTTUBE,VENTALV -> ARTCO2,HR -> HRBP ,FIO2 -> SAO2,PVSAT -> PULMEMBOLUS,ERRCAUTER -> HRSAT,
INTUBATION -> VENTALV,VENTMACH -> VENTTUBE,ERRLOWOUTPUT -> HRBP ,ARTCO2 -> MINVOL,INTUBATION-> SHUNT,VENTLUNG -> EXPCO2,
VENTLUNG -> VENTALV,HR -> HREKG,HR -> ANAPHYLAXIS ,SHUNT -> MINVOL,PULMEMBOLUS -> PAP,ARTCO2 -> EXPCO2,
VENTALV -> ARTCO2,MINVOL -> VENTALV,PULMEMBOLUS -> ANAPHYLAXIS ,SAO2 -> MINVOL,PVSAT -> SAO2,VENTLUNG -> MINVOL,
CATECHOL -> HR,DISCONNECT -> VENTTUBE,ERRLOWOUTPUT -> ANAPHYLAXIS ,ARTCO2 -> KINKEDTUBE,HR -> HREKG,INTUBATION -> MINVOL ,
,INTUBATION -> VENTALV,PULMEMBOLUS -> INTUBATION ,CATECHOL -> KINKEDTUBE,HREKG -> ERRCAUTER,FIO2 -> PVSAT,
,PAP -> PULMEMBOLUS,ANAPHYLAXIS -> INTUBATION ,HREKG -> KINKEDTUBE,HR-> HRSAT,VENTALV -> PVSAT,
,HR -> CATECHOL,PULMEMBOLUS -> PVSAT ,FIO2 -> KINKEDTUBE,HR -> ERRLOWOUTPUT,SHUNT -> SAO2,
,ERRCAUTER -> HRSAT,INTUBATION -> PVSAT ,SHUNT -> KINKEDTUBE,HR -> HRBP,PVSAT -> SAO2,
,CVP -> LVEDVOLUME,INTUBATION -> VENTALV ,SAO2 -> KINKEDTUBE,HR -> CO,PULMEMBOLUS -> PAP,
,VENTLUNG -> VENTALV,,CATECHOL -> LVEDVOLUME,CO -> STROKEVOLUME,PULMEMBOLUS -> SHUNT,
,HREKG -> ERRCAUTER,,HREKG -> LVEDVOLUME,HR -> CATECHOL,INTUBATION -> SHUNT,
,HR -> CO,,FIO2 -> LVEDVOLUME,DISCONNECT -> VENTTUBE ,VENTTUBE -> PRESS,
,VENTLUNG -> PVSAT,,SHUNT -> LVEDVOLUME,VENTALV -> ARTCO2,KINKEDTUBE -> PRESS,
,SHUNT -> INTUBATION,,SAO2 -> LVEDVOLUME,ERRLOWOUTPUT -> HRBP,INTUBATION -> PRESS,
,VENTALV -> PVSAT,,KINKEDTUBE -> LVEDVOLUME,VENTALV -> VENTLUNG,MINVOLSET -> VENTMACH,
,VENTMACH -> DISCONNECT,,ARTCO2 -> PCWP,VENTLUNG -> MINVOL,DISCONNECT -> VENTTUBE,
,INTUBATION -> PVSAT,,HREKG -> PCWP,PULMEMBOLUS -> SHUNT,VENTMACH -> VENTTUBE,
,PULMEMBOLUS -> INTUBATION,,FIO2 -> PCWP,HREKG -> HRSAT,INTUBATION -> VENTLUNG,
,LVEDVOLUME -> HYPOVOLEMIA,,SHUNT -> PCWP,ERRCAUTER -> HRSAT,KINKEDTUBE -> VENTLUNG,
,PULMEMBOLUS -> PVSAT,,MINVOL -> PCWP,,VENTTUBE ->  VENTLUNG,
,VENTLUNG -> MINVOL,,LVEDVOLUME -> PCWP,,INTUBATION -> VENTALV,
,VENTLUNG -> EXPCO2,,CATECHOL -> EXPCO2,,VENTALV -> ARTCO2,
,STROKEVOLUME -> CO,,HREKG -> EXPCO2,,VENTLUNG -> VENTALV,
,,,FIO2 -> EXPCO2,,ARTCO2 -> CATECHOL,
,,,SHUNT -> EXPCO2,,INSUFFANESTH -> CATECHOL,
,,,SAO2 -> EXPCO2,,SAO2  -> CATECHOL,
,,,MINVOL -> EXPCO2,,TPR -> CATECHOL,
,,,KINKEDTUBE -> EXPCO2,,CATECHOL -> HR,
,,,LVEDVOLUME -> EXPCO2,,HR -> CO,
,,,PCWP -> EXPCO2,,STROKEVOLUME -> CO,
,,,CATECHOL -> HR,,TPR -> BP,
,,,HREKG -> HR,,CO -> BP,
,,,LVEDVOLUME -> HR,,,
,,,ARTCO2 -> ERRLOWOUTPUT,,,
,,,CATECHOL -> ERRLOWOUTPUT,,,
,,,HREKG -> ERRLOWOUTPUT,,,
,,,FIO2 -> ERRLOWOUTPUT,,,
,,,SHUNT -> ERRLOWOUTPUT,,,
,,,SAO2 -> ERRLOWOUTPUT,,,
,,,KINKEDTUBE -> ERRLOWOUTPUT,,,
,,,LVEDVOLUME -> ERRLOWOUTPUT,,,
,,,EXPCO2 -> ERRLOWOUTPUT,,,
,,,CATECHOL -> ERRCAUTER,,,
,,,HREKG -> ERRCAUTER,,,
,,,FIO2 -> ERRCAUTER,,,
,,,SHUNT -> ERRCAUTER,,,
,,,SAO2 -> ERRCAUTER,,,
,,,KINKEDTUBE -> ERRCAUTER,,,
,,,LVEDVOLUME -> ERRCAUTER,,,
,,,EXPCO2 -> ERRCAUTER,,,
,,,ERRLOWOUTPUT -> ERRCAUTER,,,
,,,ARTCO2 -> PULMEMBOLUS,,,
,,,CATECHOL -> PULMEMBOLUS,,,
,,,FIO2 -> PULMEMBOLUS,,,
,,,SHUNT -> PULMEMBOLUS,,,
,,,SAO2 -> PULMEMBOLUS,,,
,,,KINKEDTUBE -> PULMEMBOLUS,,,
,,,LVEDVOLUME -> PULMEMBOLUS,,,
,,,PCWP -> PULMEMBOLUS,,,
,,,EXPCO2 -> PULMEMBOLUS,,,
,,,ERRLOWOUTPUT -> PULMEMBOLUS,,,
,,,ERRCAUTER -> PULMEMBOLUS,,,
,,,ARTCO2 -> MINVOLSET,,,
,,,CATECHOL -> MINVOLSET,,,
,,,FIO2 -> MINVOLSET,,,
,,,SAO2 -> MINVOLSET,,,
,,,MINVOL -> MINVOLSET,,,
,,,KINKEDTUBE -> MINVOLSET,,,
,,,PCWP -> MINVOLSET,,,
,,,EXPCO2 -> MINVOLSET,,,
,,,ERRLOWOUTPUT -> MINVOLSET,,,
,,,PULMEMBOLUS -> MINVOLSET,,,
,,,ARTCO2 -> ANAPHYLAXIS,,,
,,,CATECHOL -> ANAPHYLAXIS,,,
,,,FIO2 -> ANAPHYLAXIS,,,
,,,SAO2 -> ANAPHYLAXIS,,,
,,,KINKEDTUBE -> ANAPHYLAXIS,,,
,,,LVEDVOLUME -> ANAPHYLAXIS,,,
,,,PCWP -> ANAPHYLAXIS,,,
,,,EXPCO2 -> ANAPHYLAXIS,,,
,,,ERRLOWOUTPUT -> ANAPHYLAXIS,,,
,,,ERRCAUTER -> ANAPHYLAXIS,,,
,,,PULMEMBOLUS -> ANAPHYLAXIS,,,
,,,MINVOLSET -> ANAPHYLAXIS,,,
,,,ARTCO2 -> INTUBATION,,,
,,,CATECHOL -> INTUBATION,,,
,,,FIO2 -> INTUBATION,,,
,,,SHUNT -> INTUBATION,,,
,,,MINVOL -> INTUBATION,,,
,,,KINKEDTUBE -> INTUBATION,,,
,,,PCWP -> INTUBATION,,,
