Ground truth pairs,Inferred pairs,Weight,AutoFD,GL,PYRO,,RFI-top1-a-1,RFI-top1-a-0.5,RFI-top1-a-0.3,RFI-top5-a-1,,Ground truth pairs extended,AutoFD gd,TANE,AutoFD_amd,AutoFD_colamd,AutoFD_metis,AutoFD_natural,AutoFD_nesdis
Burglary -> Alarm,Burglary -> Alarm,136.4476622,Burglary -> MaryCalls,Burglary -> MaryCalls,Alarm -> Burglary,,MaryCalls -> Burglary,MaryCalls -> Burglary,MaryCalls -> Burglary,MaryCalls -> Burglary,,Burglary -> Alarm,Burglary -> Alarm,,Burglary -> MaryCalls,Burglary -> MaryCalls,Burglary -> JohnCalls,Burglary -> MaryCalls,Burglary -> MaryCalls
Alarm -> JohnCalls,MaryCalls -> Alarm,31.70765449,Burglary -> Alarm,Burglary -> Alarm,JohnCalls -> Alarm,,Earthquake -> Burglary,Earthquake -> Burglary,Earthquake -> Burglary,Earthquake -> Burglary,,Earthquake -> Alarm,Alarm -> JohnCalls,,"Burglary,MaryCalls -> Alarm","Burglary,MaryCalls -> Alarm","Burglary,JohnCalls -> Alarm","Burglary,MaryCalls -> Alarm","Burglary,MaryCalls -> Alarm"
,Burglary -> Earthquake,14.83052442,MaryCalls -> Alarm,MaryCalls -> Alarm,JohnCalls -> Burglary,,Alarm -> Burglary,Alarm -> Burglary,Alarm -> Burglary,Alarm -> Burglary,,Alarm -> JohnCalls,Alarm -> Earthquake,,"Burglary,Alarm -> JohnCalls","Burglary,Alarm -> JohnCalls","Burglary,Alarm -> MaryCalls","Burglary,Alarm -> JohnCalls","Burglary,Alarm -> JohnCalls"
,Alarm -> Earthquake,14.5447681,Alarm -> JohnCalls,Alarm -> JohnCalls,MaryCalls -> Burglary,,JohnCalls -> MaryCalls,JohnCalls -> MaryCalls,JohnCalls -> MaryCalls,JohnCalls -> Burglary,,Alarm -> MaryCalls,Alarm -> MaryCalls,,"Burglary,MaryCalls,Alarm,JohnCalls -> Earthquake","Burglary,MaryCalls,Alarm,JohnCalls -> Earthquake","Burglary,JohnCalls,Alarm,MaryCalls -> Earthquake","Burglary,MaryCalls,Alarm,JohnCalls -> Earthquake","Burglary,MaryCalls,Alarm,JohnCalls -> Earthquake"
,Alarm -> JohnCalls,11.91421574,Burglary -> Earthquake,Alarm -> Earthquake,MaryCalls -> Alarm,,Alarm -> MaryCalls,Alarm -> MaryCalls,Alarm -> MaryCalls,JohnCalls -> MaryCalls,,,,,,,,,
,Burglary -> MaryCalls,6.51310472,MaryCalls -> Earthquake,,,,JohnCalls -> Alarm,Earthquake -> Alarm,Earthquake -> Alarm,Alarm -> MaryCalls,,,,,,,,,
,Burglary -> JohnCalls,1.440969841,Alarm -> Earthquake,,,,Alarm -> Earthquake,Alarm -> JohnCalls,Alarm -> JohnCalls,Earthquake -> MaryCalls,,,,,,,,,
,JohnCalls -> Earthquake,0.643855711,JohnCalls -> Earthquake,,,,,,,JohnCalls -> Alarm,,,,,,,,,
,MaryCalls -> JohnCalls,0.636648463,,,,,,,,Earthquake -> Alarm,,,,,,,,,
,,,,,,,,,,Earthquake -> JohnCalls,,,,,,,,,
