"GOAL68","RESOLVE37","FIND58","NULL48","SNode_137","SNode_136","SNode_135","SNode_134","RESOLVE38","SNode_132","SNode_131","GOAL66","WRITE31","WRITE30","VALUE3","HORIZ53","SNode_155","NEED36","SYSTEM18","SNode_31","SNode_37","SNode_34","SNode_38","SNode_60","APPLY61","KINEMATI17","SNode_120","FIND49","SNode_123","SNode_124","SNode_125","SNode_128","GOAL65","RESOLVE40","RESOLVE42","IDENTIFY10","GOAL_150","VAR20","SNode_133","INCLINE51","IDENTIFY9","KINE29","VELOCITY7","SLIDING4","SNode_88","VECTOR27","APPLY77","DISPLACEM0","COMPO16","GOAL_149","SNode_154","SNode_156","SNode_151","SNode_152","GOAL_143","GOAL_142","GOAL_147","GOAL_146","SNode_19","SNode_18","VECTOR73","SNode_11","SNode_10","SNode_13","SNode_12","SNode_15","SNode_14","SNode_17","SNode_16","IDENTIFY41","GIVEN_1","CONSTANT5","SNode_91","SNode_102","SNode_93","SNode_92","SNode_95","SNode_94","SNode_97","GOAL_49","GOAL_48","VECTOR70","WEIGHT57","GIVEN21","NEWTONS45","IDENTIFY39","KNOWN6","FORCE60","KNOWN8","GOAL_79","GOAL_130","RApp8","SNode_86","SNode_68","SNode_64","SNode_65","RApp2","RApp3","RApp4","RApp5","RApp6","RApp7","SNode_52","RApp9","DEFINE23","GOAL_56","GOAL_57","GOAL_50","GOAL_53","CHOOSE47","SNode_119","MAXIMIZE34","GOAL_129","SNode_118","GOAL_127","GOAL_126","VECTOR69","GOAL_121","RApp1","IDENTIFY43","SNode_75","SNode_74","SNode_73","SNode_71","SNode_70","NEED1","WEIGHT56","SNode_67","TRY15","TRY14","TRY11","TRY13","TRY12","GOAL_61","GOAL_63","GOAL_62","GOAL_66","GOAL_69","SNode_115","IDENTIFY22","GOAL_113","GOAL_110","GOAL_111","SNode_9","SNode_8","GOAL_114","SNode_21","SNode_5","CHOOSE19","SNode_7","SNode_6","SNode_3","IDENTIFY59","SNode_43","SNode_40","SNode_41","SNode_46","EQUATION28","SNode_44","NORMAL52","NORMAL50","IDENTIFY55","APPLY32","SYSTEM46","WRITE64","WRITE63","SUM75","CHOOSE62","SNode_51","GOAL_72","GOAL_2","GOAL_104","GOAL_107","GOAL_103","BUGGY54","SNode_33","SNode_112","GOAL_109","GOAL_108","SNode_117","SNode_116","GOAL_83","SNode_54","GOAL_81","GOAL_80","GOAL_87","GOAL_84","SNode_55","SNode_59","RApp12","RApp13","RApp10","RApp11","GRAV78","STRAT_90","GOAL_153","SNode_4","CHOOSE35","GOAL72","GRAV2","SNode_100","SNode_106","TRY24","TRY25","TRY26","AXIS33","NEED67","GOAL_98","GOAL_99","TRY76","SNode_20","SNode_42","SNode_24","SNode_25","SNode_26","SNode_27","SNode_28","SNode_29","SNode_122","EQUAL71","NEWTONS74","VECTOR44","SNode_47"
"false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","true","false","true","false","false","true","true","false","true","true","false","false","true","false","false","true","false","true","false","false","true","false","true","false","false","false","false","true","true","true","true","true","true","true","true","true","true","true","true","true","false","true","false","false","false","false","false","false","false","true","true","true","true","false","true","true","false","true","false","false","false","false","false","true","false","true","false","true","false","false","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","true","true","true","true","true","true","true","true","true","true","true","false","false","false","false","true","true","false","true","true","true","true","true","false","true","false","true","true","false","false","false","false","true","true","true","true","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","SNode_92_1","false","true","true","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","true","false","true","true","true","false","true","true","true","false"
"false","true","true","true","false","true","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","true","false","false","true","true","false","false","false","false","false","false","true","true","false","false","false","true","false","false","false","false","true","true","false","false","true","true","false","false","false","false","false","false","false","false","false","false","true","true","false","true","true","true","true","true","true","false","true","false","true","false","false","false","false","true","true","false","false","false","false","true","false","true","false","true","false","true","false","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","true","true","false","false","false","true","true","false","false","false","false","true","true","false","false","true","true","false","false","true","false","true","true","true","true","true","false","false","false","false","true","false","true","true","false","false","false","true","true","false","false","false","true","false","true","true","false","true","false","false","false","true","false","true","false","true","true","false","false","false","false","false","false","false","false","false","SNode_91_2","true","true","false","false","false","true","false","true","true","true","true","false","false","false","true","false","true","false","true","false","false","false","false","false","true","true","false","true"
"true","false","true","false","false","false","false","false","false","false","false","true","true","false","false","false","false","false","true","false","true","true","true","false","false","false","false","true","false","false","false","true","false","true","true","true","false","true","false","false","true","true","true","false","false","true","false","false","false","false","false","false","false","false","false","true","true","false","true","true","false","true","true","true","true","true","true","true","true","true","true","false","false","false","false","false","true","true","true","false","false","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","false","false","true","false","true","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","true","true","false","false","true","false","true","true","true","true","false","false","false","false","false","false","false","true","true","true","true","true","true","true","true","false","false","true","false","false","false","true","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","true","SNode_91_2","false","true","true","false","true","false","false","true","true","true","true","true","false","false","false","false","true","true","false","true","false","false","false","false","true","true","false","true"
"true","true","true","false","false","false","false","false","true","false","true","false","false","false","false","true","false","true","true","false","false","false","true","true","true","false","false","true","false","false","false","false","false","false","false","true","false","true","true","true","true","false","true","true","false","false","true","false","false","true","true","false","false","true","false","false","true","false","true","true","true","true","true","true","true","true","true","true","true","true","true","false","false","true","false","false","false","false","false","true","false","true","true","true","false","true","true","true","false","true","true","false","false","false","true","false","true","true","false","false","false","false","false","false","true","false","true","true","true","true","false","true","true","false","false","true","false","true","false","true","false","false","false","false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","true","false","true","true","false","true","true","true","false","true","true","true","true","true","true","false","false","false","false","false","false","true","false","false","false","true","true","false","false","false","true","false","true","false","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","true","true","false","false","false","false","true","SNode_92_1","false","true","true","true","true","false","false","true","true","true","true","true","false","true","true","false","false","false","true","true","true","true","true","true","false","true","false","true"
"false","false","false","false","false","false","false","true","true","true","true","false","false","true","false","false","false","true","true","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","true","false","false","false","true","true","false","true","false","false","false","true","false","true","false","true","true","true","true","true","true","true","true","true","true","true","false","true","false","true","false","false","true","false","false","false","true","true","true","true","true","true","false","false","false","true","false","false","false","false","false","true","false","true","false","true","false","false","false","false","false","false","false","false","true","false","true","false","false","false","true","false","false","true","true","true","true","false","false","false","false","true","false","true","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","true","true","false","false","true","true","true","true","true","false","false","false","false","false","false","false","false","true","false","true","true","false","false","false","false","true","false","true","false","false","false","true","true","true","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","true","SNode_92_1","true","true","true","true","true","false","false","true","true","true","false","true","false","false","false","false","false","false","true","false","true","false","false","true","true","true","false","true"
"true","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","true","false","true","true","false","true","false","false","false","true","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","false","true","true","false","true","true","true","true","true","true","true","true","true","true","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","true","true","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","true","true","true","false","true","true","false","true","true","true","true","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","true","false","false","false","false","false","true","true","false","false","true","false","false","false","false","false","false","false","true","SNode_91_2","false","true","true","false","true","true","true","true","true","true","true","false","true","false","false","true","false","false","false","false","true","true","true","false","true","true","true","false"
"true","false","false","true","false","false","false","true","true","false","false","true","false","true","true","true","true","false","false","true","false","false","false","false","true","false","false","false","false","true","false","true","false","false","false","true","false","false","true","false","false","false","false","true","false","false","false","true","false","true","false","false","false","true","true","true","true","false","true","true","true","true","true","true","true","true","true","true","true","false","true","false","false","false","false","true","false","false","false","true","true","true","false","true","true","false","false","true","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false","true","false","true","false","false","true","false","false","false","true","false","false","false","true","false","true","false","false","true","true","false","true","true","false","true","false","true","false","true","false","true","false","false","false","true","true","true","false","true","false","true","true","true","false","false","false","true","false","false","false","false","true","true","true","true","false","true","true","true","false","false","true","false","true","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","SNode_92_1","false","true","false","false","true","false","false","true","true","true","true","true","false","false","true","false","false","false","true","false","false","true","false","false","true","true","false","false"
"true","true","true","false","false","false","false","false","true","false","false","false","true","true","true","false","false","true","true","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","true","true","false","true","false","false","false","true","false","true","false","true","false","false","false","false","true","false","false","false","false","false","true","true","true","true","true","true","true","true","true","true","true","true","true","false","true","false","false","false","false","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","true","false","false","false","false","true","false","false","true","true","true","true","true","true","false","true","true","false","true","true","false","true","true","false","true","true","true","true","true","false","true","true","true","false","false","true","false","true","false","false","false","true","true","true","false","false","true","false","false","false","false","true","false","false","true","true","true","true","true","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","true","SNode_91_2","false","true","true","true","true","false","false","true","true","true","true","false","true","true","false","true","false","true","true","false","false","false","false","true","true","true","false","false"
"true","true","false","false","false","false","false","false","false","false","false","true","false","true","false","true","false","true","false","false","false","true","false","true","true","true","false","false","false","false","false","false","false","true","true","false","false","false","false","true","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","true","false","false","true","true","true","true","true","true","true","true","true","true","true","true","true","true","false","false","false","false","true","true","true","true","false","true","true","true","true","false","false","true","true","false","false","true","true","false","false","false","true","false","true","false","false","false","true","false","true","true","true","true","false","true","false","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false","true","false","true","false","false","false","false","true","false","true","true","true","false","false","true","true","true","true","true","false","false","false","true","false","false","true","true","false","true","true","false","false","false","false","true","false","false","true","false","false","false","false","true","true","false","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","SNode_91_2","false","true","true","true","false","false","false","true","true","true","true","false","true","false","false","false","false","false","true","true","true","false","true","true","true","true","true","true"
"false","false","true","true","false","false","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","true","true","false","false","true","false","false","false","true","false","true","false","false","false","false","false","true","true","false","true","true","true","false","true","true","true","false","true","true","false","false","false","false","false","false","true","true","false","true","true","true","true","true","true","true","true","true","true","false","false","true","true","false","true","false","false","true","true","true","true","true","false","true","true","true","true","true","true","false","false","false","false","false","true","false","true","false","false","false","false","false","true","false","true","false","false","true","false","true","false","false","false","true","false","false","true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","true","true","true","false","true","false","true","true","true","true","false","false","false","false","false","false","true","false","false","false","false","false","true","true","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","true","false","false","true","false","false","true","false","false","false","false","true","SNode_92_1","false","true","false","false","false","false","false","true","true","true","false","false","false","false","true","true","false","false","true","false","true","false","true","false","true","false","false","true"
