"Burglary","MaryCalls","Alarm","JohnCalls","Earthquake"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","True","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","True"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","True","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","True","True","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"True","True","True","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","True"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","True"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"True","True","True","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"True","False","True","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","True","False"
"False","False","False","False","False"
"False","False","False","False","False"
"False","False","False","False","False"
