"LLIW","InsChange","MeanRH","WindFieldMt","SubjVertMo","SynForcng","LoLevMoistAd","Boundaries","AMInsWliScen","N34StarFcst","N0_7muVerMo","WndHodograph","ScenRel3_4","WindAloft","AreaMeso_ALS","ScenRelAMIns","CapInScen","Dewpoints","MorningCIN","CldShadeOth","Date","MorningBound","LIfr12ZDENSd","InsSclInScen","InsInMt","IRCloudCover","RHRatio","LatestCIN","QGVertMotion","MountainFcst","MvmtFeatures","SatContMoist","SfcWndShfDis","Scenario","CapChange","AMInstabMt","CurPropConv","AMCINInScen","CldShadeConv","RaoContMoist","CompPlFcst","LowLLapse","R5Fcst","PlainsFcst","MidLLapse","ScnRelPlFcst","AMDewptCalPl","CombVerMo","WindFieldPln","AreaMoDryAir","CombClouds","VISCloudCov","CombMoisture","OutflowFrMt","ScenRelAMCIN","TempDis"
"Unfavorable","LittleChange","VeryMoist","Westerly","Down","LittleChange","Neutral","Strong","Average","XNIL","StrongUp","DCVZFavor","ACEFK","AllElse","StrongUp","K","LessThanAve","Other","None","PC","Aug11_Aug20","Strong","N1GtLIGt_4","Average","Weak","PC","DryMMoistL","PartInhibit","Neutral","SIG","MarkedUpper","Dry","Other","K","Decreasing","Weak","None","LessThanAve","None","Neutral","DecCapIncIns","Steep","SIG","XNIL","ModerateOrLe","K","Stability","StrongUp","WidespdDnsl","Neutral","Clear","PC","Neutral","None","CThruK","Other"
"Strong","Increasing","Average","LVorOther","StronUp","PosToNeg","Negative","Weak","LessUnstable","XNIL","Down","StrongWest","ACEFK","SWQuad","Down","CDEJ","Average","LowAtStation","PartInhibit","Clear","Jul16_Aug10","Weak","N1GtLIGt_4","Average","Strong","Clear","MoistMDryL","None","Neutral","XNIL","NoMajor","VeryWet","DenvCyclone","E","Increasing","Weak","Strong","Average","Some","Wet","IncCapDecIns","ModerateOrLe","XNIL","XNIL","ModerateOrLe","E","Stability","Down","SEQuad","Wet","Clear","Clear","VeryWet","Weak","CThruK","None"
"Strong","Increasing","Dry","Westerly","Down","SigPositive","WeakPos","None","MoreUnstable","SVR","StrongUp","Other","ACEFK","AllElse","Neutral","K","LessThanAve","LowAtStation","PartInhibit","PC","Aug20_Sep15","None","LILt_8","MoreUnstable","Weak","Cloudy","MoistMDryL","None","Neutral","XNIL","MarkedUpper","Dry","MovingFtorOt","K","LittleChange","Weak","Strong","LessThanAve","None","Dry","LittleChange","Steep","SVR","SVR","CloseToDryAd","K","Instability","Neutral","LongAnticyc","Dry","PC","PC","Dry","None","CThruK","QStationary"
"Moderate","LittleChange","Average","LVorOther","Neutral","LittleChange","Negative","Weak","LessUnstable","XNIL","StrongUp","Other","ACEFK","AllElse","Neutral","CDEJ","LessThanAve","LowAtStation","PartInhibit","PC","Jul16_Aug10","Weak","LIGt0","LessUnstable","None","Clear","MoistMDryL","None","StrongUp","XNIL","OtherRapid","Neutral","None","E","Decreasing","None","Moderate","Average","None","Neutral","DecCapIncIns","CloseToDryAd","XNIL","XNIL","ModerateOrLe","E","Neutral","Neutral","SEQuad","VeryWet","Clear","PC","Wet","None","CThruK","QStationary"
"Weak","Decreasing","Dry","Westerly","Down","LittleChange","Negative","Weak","MoreUnstable","XNIL","WeakUp","Westerly","ACEFK","AllElse","WeakUp","K","MoreThanAve","LowEvrywhere","PartInhibit","PC","May15_Jun14","Weak","LILt_8","MoreUnstable","Strong","Cloudy","DryMMoistL","None","Down","SIG","MarkedUpper","Dry","MovingFtorOt","K","Increasing","Strong","Slight","Average","Some","Wet","IncCapDecIns","ModerateOrLe","SIG","XNIL","ModerateOrLe","K","Instability","WeakUp","WidespdDnsl","Dry","PC","Clear","Dry","None","CThruK","Other"
"Strong","LittleChange","Average","Westerly","Down","LittleChange","Neutral","Weak","MoreUnstable","XNIL","WeakUp","StrongWest","ACEFK","AllElse","Neutral","CDEJ","Average","LowEvrywhere","PartInhibit","Clear","May15_Jun14","None","N1GtLIGt_4","MoreUnstable","Strong","Clear","MoistMDryL","Stifling","Neutral","SVR","StrongFront","Dry","E_W_N","E","LittleChange","Strong","Slight","Average","Marked","Dry","LittleChange","CloseToDryAd","SVR","XNIL","Steep","E","Instability","Neutral","WidespdDnsl","Wet","Clear","Clear","Wet","Strong","CThruK","None"
"Strong","LittleChange","Dry","Westerly","Neutral","PosToNeg","WeakPos","Strong","Average","SIG","WeakUp","StrongWest","GJ","SWQuad","Neutral","G","MoreThanAve","LowAtStation","PartInhibit","PC","May15_Jun14","Strong","N1GtLIGt_4","Average","Strong","PC","MoistMDryL","None","Neutral","SVR","NoMajor","Dry","DryLine","G","Increasing","Weak","Strong","Average","Some","Neutral","IncCapDecIns","CloseToDryAd","SVR","SIG","CloseToDryAd","G","Instability","Neutral","WidespdDnsl","VeryWet","PC","PC","Wet","Strong","CThruK","None"
"Moderate","Decreasing","Average","LVorOther","StronUp","SigNegative","WeakPos","Strong","LessUnstable","XNIL","Down","DCVZFavor","HI","AllElse","Down","ABI","MoreThanAve","LowMtsHighPl","Stifling","Cloudy","Aug11_Aug20","Weak","N1GtLIGt_4","LessUnstable","Strong","Cloudy","Other","PartInhibit","WeakUp","SIG","MarkedUpper","Wet","E_W_S","I","LittleChange","Strong","Slight","MoreThanAve","Marked","Neutral","LittleChange","ModerateOrLe","SIG","XNIL","ModerateOrLe","I","Neutral","Down","DenvCyclone","Dry","Cloudy","PC","Neutral","Weak","CThruK","QStationary"
"Moderate","LittleChange","VeryMoist","LVorOther","Down","SigPositive","Neutral","Strong","MoreUnstable","XNIL","WeakUp","Westerly","HI","NWQuad","Neutral","H","LessThanAve","LowMtsHighPl","None","Cloudy","May15_Jun14","Weak","N1GtLIGt_4","Average","Strong","Cloudy","DryMMoistL","None","Down","SIG","MarkedUpper","Wet","MovingFtorOt","H","LittleChange","Weak","Moderate","LessThanAve","Marked","Dry","LittleChange","ModerateOrLe","SIG","XNIL","Steep","H","Instability","Neutral","E_NE","Neutral","Cloudy","PC","Neutral","Weak","CThruK","Moving"
"Weak","Increasing","Average","LVorOther","WeakUp","LittleChange","StrongPos","None","Average","XNIL","Down","Other","GJ","LV","Neutral","CDEJ","LessThanAve","LowAtStation","PartInhibit","Clear","Aug20_Sep15","Strong","LIGt0","MoreUnstable","Strong","PC","MoistMDryL","PartInhibit","Neutral","SIG","NoMajor","Wet","Other","J","Increasing","None","None","LessThanAve","None","Neutral","IncCapDecIns","CloseToDryAd","SIG","XNIL","Steep","J","Instability","Neutral","LongAnticyc","Dry","PC","PC","Dry","None","CThruK","None"
