dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,ocsvm,0,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3798182010650635,6.130833148956299,8.510651350021362,nu_0.1,
yeast,ocsvm,0.01,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3798182010650635,6.130833148956299,8.510651350021362,nu_0.1,
yeast,ocsvm,0.05,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3798182010650635,6.130833148956299,8.510651350021362,nu_0.1,
yeast,ocsvm,0.1,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3798182010650635,6.130833148956299,8.510651350021362,nu_0.1,
yeast,ocsvm,0,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3798182010650635,5.525346517562866,7.90516471862793,nu_0.1,
yeast,ocsvm,0.01,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3798182010650635,5.525346517562866,7.90516471862793,nu_0.1,
yeast,ocsvm,0.05,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3798182010650635,5.525346517562866,7.90516471862793,nu_0.1,
yeast,ocsvm,0.1,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3798182010650635,5.525346517562866,7.90516471862793,nu_0.1,
yeast,ocsvm,0,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.421458005905151,5.737926483154297,17.15938448905945,nu_0.5,
yeast,ocsvm,0.01,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.421458005905151,5.737926483154297,17.15938448905945,nu_0.5,
yeast,ocsvm,0.05,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.421458005905151,5.737926483154297,17.15938448905945,nu_0.5,
yeast,ocsvm,0.1,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.421458005905151,5.737926483154297,17.15938448905945,nu_0.5,
yeast,ocsvm,0,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.421458005905151,5.501954078674316,16.923412084579468,nu_0.5,
yeast,ocsvm,0.01,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.421458005905151,5.501954078674316,16.923412084579468,nu_0.5,
yeast,ocsvm,0.05,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.421458005905151,5.501954078674316,16.923412084579468,nu_0.5,
yeast,ocsvm,0.1,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.421458005905151,5.501954078674316,16.923412084579468,nu_0.5,
yeast,ocsvm,0,0.0001,True,3,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3661949634552,56.426305294036865,58.792500257492065,nu_0.1,
yeast,ocsvm,0.01,0.0001,True,3,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3661949634552,56.426305294036865,58.792500257492065,nu_0.1,
yeast,ocsvm,0.05,0.0001,True,3,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3661949634552,56.426305294036865,58.792500257492065,nu_0.1,
yeast,ocsvm,0.1,0.0001,True,3,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3661949634552,56.426305294036865,58.792500257492065,nu_0.1,
yeast,ocsvm,0,0.0001,True,3,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3661949634552,56.53861951828003,58.90481448173523,nu_0.1,
yeast,ocsvm,0.01,0.0001,True,3,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3661949634552,56.53861951828003,58.90481448173523,nu_0.1,
yeast,ocsvm,0.05,0.0001,True,3,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3661949634552,56.53861951828003,58.90481448173523,nu_0.1,
yeast,ocsvm,0.1,0.0001,True,3,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3661949634552,56.53861951828003,58.90481448173523,nu_0.1,
yeast,ocsvm,0,0.0001,True,3,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532873392105103,56.750874042510986,68.28374743461609,nu_0.5,
yeast,ocsvm,0.01,0.0001,True,3,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532873392105103,56.750874042510986,68.28374743461609,nu_0.5,
yeast,ocsvm,0.05,0.0001,True,3,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532873392105103,56.750874042510986,68.28374743461609,nu_0.5,
yeast,ocsvm,0.1,0.0001,True,3,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532873392105103,56.750874042510986,68.28374743461609,nu_0.5,
yeast,ocsvm,0,0.0001,True,3,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532873392105103,57.87038588523865,69.40325927734375,nu_0.5,
yeast,ocsvm,0.01,0.0001,True,3,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532873392105103,57.87038588523865,69.40325927734375,nu_0.5,
yeast,ocsvm,0.05,0.0001,True,3,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532873392105103,57.87038588523865,69.40325927734375,nu_0.5,
yeast,ocsvm,0.1,0.0001,True,3,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532873392105103,57.87038588523865,69.40325927734375,nu_0.5,
yeast,ocsvm,0,0.0001,True,5,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.386688709259033,56.684006690979004,59.07069540023804,nu_0.1,
yeast,ocsvm,0.01,0.0001,True,5,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.386688709259033,56.684006690979004,59.07069540023804,nu_0.1,
yeast,ocsvm,0.05,0.0001,True,5,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.386688709259033,56.684006690979004,59.07069540023804,nu_0.1,
yeast,ocsvm,0.1,0.0001,True,5,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.386688709259033,56.684006690979004,59.07069540023804,nu_0.1,
yeast,ocsvm,0,0.0001,True,5,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.386688709259033,56.689395904541016,59.07608461380005,nu_0.1,
yeast,ocsvm,0.01,0.0001,True,5,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.386688709259033,56.689395904541016,59.07608461380005,nu_0.1,
