dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,isf,0,1.00E-06,FALSE,10,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.582425833,6.065305233,11.64773107,nu_0.1,TRUE
yeast,isf,0.01,1.00E-06,FALSE,10,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.582425833,6.065305233,11.64773107,nu_0.1,TRUE
yeast,isf,0.05,1.00E-06,FALSE,10,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.582425833,6.065305233,11.64773107,nu_0.1,TRUE
yeast,isf,0.1,1.00E-06,FALSE,10,10,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.582425833,6.065305233,11.64773107,nu_0.1,TRUE
yeast,isf,0,1.00E-06,FALSE,10,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.582425833,5.702324152,11.28474998,nu_0.1,TRUE
yeast,isf,0.01,1.00E-06,FALSE,10,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.582425833,5.702324152,11.28474998,nu_0.1,TRUE
yeast,isf,0.05,1.00E-06,FALSE,10,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.582425833,5.702324152,11.28474998,nu_0.1,TRUE
yeast,isf,0.1,1.00E-06,FALSE,10,50,0,0,0,0.3003,0.4536,0.3614,0.3003,0.4536,0.3614,5.582425833,5.702324152,11.28474998,nu_0.1,TRUE
yeast,isf,0,1.00E-06,FALSE,10,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.736561298,5.770729542,11.50729084,nu_0.5,TRUE
yeast,isf,0.01,1.00E-06,FALSE,10,10,0,0,0,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,5.736561298,5.770729542,11.50729084,nu_0.5,TRUE
