dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,ocsvm,0.0,1e-06,True,50.0,10.0,0.3191,0.7377,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,11.08447528,12.69511914,nu_0.1,False
yeast,ocsvm,0.01,1e-06,True,50.0,10.0,0.3191,0.7377,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,11.08447528,12.69511914,nu_0.1,False
yeast,ocsvm,0.05,1e-06,True,50.0,10.0,0.3213,0.3846,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,11.08447528,12.69511914,nu_0.1,False
yeast,ocsvm,0.1,1e-06,True,50.0,10.0,0.2364,0.0256,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,11.08447528,12.69511914,nu_0.1,False
yeast,ocsvm,0.0,1e-06,True,50.0,25.0,0.3191,0.7377,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,7.091475964,8.702119827,nu_0.1,False
yeast,ocsvm,0.01,1e-06,True,50.0,25.0,0.3191,0.7377,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,7.091475964,8.702119827,nu_0.1,False
yeast,ocsvm,0.05,1e-06,True,50.0,25.0,0.3213,0.3846,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,7.091475964,8.702119827,nu_0.1,False
yeast,ocsvm,0.1,1e-06,True,50.0,25.0,0.2364,0.0256,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,7.091475964,8.702119827,nu_0.1,False
yeast,ocsvm,0.0,1e-06,True,50.0,50.0,0.0,0.0,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,4.192754984,5.803398848,nu_0.1,False
yeast,ocsvm,0.01,1e-06,True,50.0,50.0,0.0,0.0,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,4.192754984,5.803398848,nu_0.1,False
yeast,ocsvm,0.05,1e-06,True,50.0,50.0,0.0,0.0,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,4.192754984,5.803398848,nu_0.1,False
yeast,ocsvm,0.1,1e-06,True,50.0,50.0,0.0,0.0,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,1.610643864,4.192754984,5.803398848,nu_0.1,False
yeast,ocsvm,0.0,1e-06,True,50.0,10.0,0.3287,0.8817,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,7.231967211000001,10.39773107,nu_0.2,False
yeast,ocsvm,0.01,1e-06,True,50.0,10.0,0.3287,0.8817,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,7.231967211000001,10.39773107,nu_0.2,False
yeast,ocsvm,0.05,1e-06,True,50.0,10.0,0.3027,0.5523,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,7.231967211000001,10.39773107,nu_0.2,False
yeast,ocsvm,0.1,1e-06,True,50.0,10.0,0.2957,0.1085,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,7.231967211000001,10.39773107,nu_0.2,False
yeast,ocsvm,0.0,1e-06,True,50.0,25.0,0.3287,0.8817,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,7.182243109,10.34800696,nu_0.2,False
yeast,ocsvm,0.01,1e-06,True,50.0,25.0,0.3287,0.8817,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,7.182243109,10.34800696,nu_0.2,False
yeast,ocsvm,0.05,1e-06,True,50.0,25.0,0.3027,0.5523,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,7.182243109,10.34800696,nu_0.2,False
yeast,ocsvm,0.1,1e-06,True,50.0,25.0,0.2957,0.1085,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,7.182243109,10.34800696,nu_0.2,False
yeast,ocsvm,0.0,1e-06,True,50.0,50.0,0.0,0.0,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,4.1578071119999995,7.323570967,nu_0.2,False
yeast,ocsvm,0.01,1e-06,True,50.0,50.0,0.0,0.0,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,4.1578071119999995,7.323570967,nu_0.2,False
yeast,ocsvm,0.05,1e-06,True,50.0,50.0,0.0,0.0,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,4.1578071119999995,7.323570967,nu_0.2,False
yeast,ocsvm,0.1,1e-06,True,50.0,50.0,0.0,0.0,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,3.165763855,4.1578071119999995,7.323570967,nu_0.2,False
yeast,ocsvm,0.0,1e-06,True,50.0,10.0,0.3413,0.9822,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,4.721870184,7.382630347999999,12.10450053,nu_0.3,False
yeast,ocsvm,0.01,1e-06,True,50.0,10.0,0.3413,0.9822,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,4.721870184,7.382630347999999,12.10450053,nu_0.3,False
yeast,ocsvm,0.05,1e-06,True,50.0,10.0,0.332,0.8126,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,4.721870184,7.382630347999999,12.10450053,nu_0.3,False
yeast,ocsvm,0.1,1e-06,True,50.0,10.0,0.3243,0.2821,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,4.721870184,7.382630347999999,12.10450053,nu_0.3,False
yeast,ocsvm,0.0,1e-06,True,50.0,25.0,0.3413,0.9822,0.0,0.3416,1.0,0.5093,0.3416,1.0,0.0,4.721870184,7.41819787,12.14006805,nu_0.3,False
