dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,lof,0,1e-06,False,10,10,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.057358741760254,6.24744176864624,13.304800510406494,nu_0.1,True,
yeast,lof,0.01,1e-06,False,10,10,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.057358741760254,6.24744176864624,13.304800510406494,nu_0.1,True,
yeast,lof,0.05,1e-06,False,10,10,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.057358741760254,6.24744176864624,13.304800510406494,nu_0.1,True,
yeast,lof,0.1,1e-06,False,10,10,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.057358741760254,6.24744176864624,13.304800510406494,nu_0.1,True,
yeast,lof,0,1e-06,False,10,50,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.057358741760254,5.520900011062622,12.578258752822876,nu_0.1,True,
yeast,lof,0.01,1e-06,False,10,50,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.057358741760254,5.520900011062622,12.578258752822876,nu_0.1,True,
yeast,lof,0.05,1e-06,False,10,50,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.057358741760254,5.520900011062622,12.578258752822876,nu_0.1,True,
yeast,lof,0.1,1e-06,False,10,50,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.057358741760254,5.520900011062622,12.578258752822876,nu_0.1,True,
yeast,lof,0,1e-06,False,10,10,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.019359350204468,5.512512445449829,12.531871795654297,nu_0.5,True,
yeast,lof,0.01,1e-06,False,10,10,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.019359350204468,5.512512445449829,12.531871795654297,nu_0.5,True,
yeast,lof,0.05,1e-06,False,10,10,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.019359350204468,5.512512445449829,12.531871795654297,nu_0.5,True,
yeast,lof,0.1,1e-06,False,10,10,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.019359350204468,5.512512445449829,12.531871795654297,nu_0.5,True,
yeast,lof,0,1e-06,False,10,50,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.019359350204468,5.484846830368042,12.50420618057251,nu_0.5,True,
yeast,lof,0.01,1e-06,False,10,50,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.019359350204468,5.484846830368042,12.50420618057251,nu_0.5,True,
yeast,lof,0.05,1e-06,False,10,50,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.019359350204468,5.484846830368042,12.50420618057251,nu_0.5,True,
yeast,lof,0.1,1e-06,False,10,50,0.0000,0.0000,0.0000,0.2772,0.1006,0.1476,0.2772,0.1006,0.1476,7.019359350204468,5.484846830368042,12.50420618057251,nu_0.5,True,
yeast,lof,0,0.0001,True,3,10,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.071087121963501,55.9554979801178,63.0265851020813,nu_0.1,True,
yeast,lof,0.01,0.0001,True,3,10,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.071087121963501,55.9554979801178,63.0265851020813,nu_0.1,True,
yeast,lof,0.05,0.0001,True,3,10,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.071087121963501,55.9554979801178,63.0265851020813,nu_0.1,True,
yeast,lof,0.1,0.0001,True,3,10,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.071087121963501,55.9554979801178,63.0265851020813,nu_0.1,True,
yeast,lof,0,0.0001,True,3,50,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.071087121963501,56.02602958679199,63.09711670875549,nu_0.1,True,
yeast,lof,0.01,0.0001,True,3,50,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.071087121963501,56.02602958679199,63.09711670875549,nu_0.1,True,
yeast,lof,0.05,0.0001,True,3,50,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.071087121963501,56.02602958679199,63.09711670875549,nu_0.1,True,
yeast,lof,0.1,0.0001,True,3,50,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.071087121963501,56.02602958679199,63.09711670875549,nu_0.1,True,
yeast,lof,0,0.0001,True,3,10,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.009545564651489,56.002877712249756,63.012423276901245,nu_0.5,True,
yeast,lof,0.01,0.0001,True,3,10,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.009545564651489,56.002877712249756,63.012423276901245,nu_0.5,True,
yeast,lof,0.05,0.0001,True,3,10,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.009545564651489,56.002877712249756,63.012423276901245,nu_0.5,True,
yeast,lof,0.1,0.0001,True,3,10,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.009545564651489,56.002877712249756,63.012423276901245,nu_0.5,True,
yeast,lof,0,0.0001,True,3,50,0.0000,0.0000,0.0000,0.2333,0.0414,0.0704,0.2333,0.0414,0.0704,7.009545564651489,55.98240423202515,62.991949796676636,nu_0.5,True,
