dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,ocsvm,0,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.4155120849609375,5.898040533065796,8.313552618026733,nu_0.1,False,
yeast,ocsvm,0.01,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.4155120849609375,5.898040533065796,8.313552618026733,nu_0.1,False,
yeast,ocsvm,0.05,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.4155120849609375,5.898040533065796,8.313552618026733,nu_0.1,False,
yeast,ocsvm,0.1,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.4155120849609375,5.898040533065796,8.313552618026733,nu_0.1,False,
yeast,ocsvm,0,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.4155120849609375,5.517781734466553,7.93329381942749,nu_0.1,False,
yeast,ocsvm,0.01,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.4155120849609375,5.517781734466553,7.93329381942749,nu_0.1,False,
yeast,ocsvm,0.05,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.4155120849609375,5.517781734466553,7.93329381942749,nu_0.1,False,
yeast,ocsvm,0.1,1e-06,False,10,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.4155120849609375,5.517781734466553,7.93329381942749,nu_0.1,False,
yeast,ocsvm,0,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.469090938568115,5.467645883560181,16.936736822128296,nu_0.5,False,
yeast,ocsvm,0.01,1e-06,False,10,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.469090938568115,5.467645883560181,16.936736822128296,nu_0.5,False,
