dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,ocsvm,0,1.00E-06,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.379818201,6.130833149,8.51065135,nu_0.1,TRUE
yeast,ocsvm,0.01,1.00E-06,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.379818201,6.130833149,8.51065135,nu_0.1,TRUE
yeast,ocsvm,0.05,1.00E-06,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.379818201,6.130833149,8.51065135,nu_0.1,TRUE
yeast,ocsvm,0.1,1.00E-06,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.379818201,6.130833149,8.51065135,nu_0.1,TRUE
yeast,ocsvm,0,1.00E-06,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.379818201,5.525346518,7.905164719,nu_0.1,TRUE
yeast,ocsvm,0.01,1.00E-06,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.379818201,5.525346518,7.905164719,nu_0.1,TRUE
yeast,ocsvm,0.05,1.00E-06,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.379818201,5.525346518,7.905164719,nu_0.1,TRUE
yeast,ocsvm,0.1,1.00E-06,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.379818201,5.525346518,7.905164719,nu_0.1,TRUE
yeast,ocsvm,0,1.00E-06,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42145801,5.737926483,17.15938449,nu_0.5,TRUE
yeast,ocsvm,0.01,1.00E-06,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42145801,5.737926483,17.15938449,nu_0.5,TRUE
yeast,ocsvm,0.05,1.00E-06,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42145801,5.737926483,17.15938449,nu_0.5,TRUE
yeast,ocsvm,0.1,1.00E-06,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42145801,5.737926483,17.15938449,nu_0.5,TRUE
yeast,ocsvm,0,1.00E-06,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42145801,5.501954079,16.92341208,nu_0.5,TRUE
yeast,ocsvm,0.01,1.00E-06,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42145801,5.501954079,16.92341208,nu_0.5,TRUE
yeast,ocsvm,0.05,1.00E-06,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42145801,5.501954079,16.92341208,nu_0.5,TRUE
yeast,ocsvm,0.1,1.00E-06,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42145801,5.501954079,16.92341208,nu_0.5,TRUE
yeast,ocsvm,0,0.0001,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.366194963,56.42630529,58.79250026,nu_0.1,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.366194963,56.42630529,58.79250026,nu_0.1,TRUE
yeast,ocsvm,0.05,0.0001,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.366194963,56.42630529,58.79250026,nu_0.1,TRUE
yeast,ocsvm,0.1,0.0001,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.366194963,56.42630529,58.79250026,nu_0.1,TRUE
yeast,ocsvm,0,0.0001,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.366194963,56.53861952,58.90481448,nu_0.1,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.366194963,56.53861952,58.90481448,nu_0.1,TRUE
yeast,ocsvm,0.05,0.0001,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.366194963,56.53861952,58.90481448,nu_0.1,TRUE
yeast,ocsvm,0.1,0.0001,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.366194963,56.53861952,58.90481448,nu_0.1,TRUE
yeast,ocsvm,0,0.0001,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.53287339,56.75087404,68.28374743,nu_0.5,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.53287339,56.75087404,68.28374743,nu_0.5,TRUE
