dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,ocsvm,0,1.00E-06,TRUE,50,10,0.3191,0.7377,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,11.08447528,12.69511914,nu_0.1
yeast,ocsvm,0.01,1.00E-06,TRUE,50,10,0.3191,0.7377,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,11.08447528,12.69511914,nu_0.1
yeast,ocsvm,0.05,1.00E-06,TRUE,50,10,0.3213,0.3846,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,11.08447528,12.69511914,nu_0.1
yeast,ocsvm,0.1,1.00E-06,TRUE,50,10,0.2364,0.0256,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,11.08447528,12.69511914,nu_0.1
yeast,ocsvm,0,1.00E-06,TRUE,50,25,0.3191,0.7377,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,7.091475964,8.702119827,nu_0.1
yeast,ocsvm,0.01,1.00E-06,TRUE,50,25,0.3191,0.7377,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,7.091475964,8.702119827,nu_0.1
yeast,ocsvm,0.05,1.00E-06,TRUE,50,25,0.3213,0.3846,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,7.091475964,8.702119827,nu_0.1
yeast,ocsvm,0.1,1.00E-06,TRUE,50,25,0.2364,0.0256,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,7.091475964,8.702119827,nu_0.1
yeast,ocsvm,0,1.00E-06,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,4.192754984,5.803398848,nu_0.1
yeast,ocsvm,0.01,1.00E-06,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,4.192754984,5.803398848,nu_0.1
yeast,ocsvm,0.05,1.00E-06,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,4.192754984,5.803398848,nu_0.1
yeast,ocsvm,0.1,1.00E-06,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0,1.610643864,4.192754984,5.803398848,nu_0.1
