dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,lof,0,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.389471054077148,7.08367395401001,14.473145008087158,nu_0.1,
yeast,lof,0.01,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.389471054077148,7.08367395401001,14.473145008087158,nu_0.1,
yeast,lof,0.05,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.389471054077148,7.08367395401001,14.473145008087158,nu_0.1,
yeast,lof,0.1,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.389471054077148,7.08367395401001,14.473145008087158,nu_0.1,
yeast,lof,0,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.389471054077148,5.9034106731414795,13.292881727218628,nu_0.1,
yeast,lof,0.01,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.389471054077148,5.9034106731414795,13.292881727218628,nu_0.1,
yeast,lof,0.05,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.389471054077148,5.9034106731414795,13.292881727218628,nu_0.1,
yeast,lof,0.1,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.389471054077148,5.9034106731414795,13.292881727218628,nu_0.1,
yeast,lof,0,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.396026849746704,6.142802715301514,13.538829565048218,nu_0.5,
yeast,lof,0.01,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.396026849746704,6.142802715301514,13.538829565048218,nu_0.5,
yeast,lof,0.05,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.396026849746704,6.142802715301514,13.538829565048218,nu_0.5,
yeast,lof,0.1,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.396026849746704,6.142802715301514,13.538829565048218,nu_0.5,
yeast,lof,0,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.396026849746704,5.8609747886657715,13.257001638412476,nu_0.5,
yeast,lof,0.01,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.396026849746704,5.8609747886657715,13.257001638412476,nu_0.5,
yeast,lof,0.05,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.396026849746704,5.8609747886657715,13.257001638412476,nu_0.5,
yeast,lof,0.1,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.396026849746704,5.8609747886657715,13.257001638412476,nu_0.5,
yeast,lof,0,0.0001,True,50,10,0.2605,0.3294,0.2909,0.2882,0.3609,0.3205,0.2791,0.4734,0.3511,7.096557378768921,70.78493857383728,77.8814959526062,nu_0.1,
yeast,lof,0.01,0.0001,True,50,10,0.2609,0.3294,0.2912,0.2882,0.3609,0.3205,0.2791,0.4734,0.3511,7.096557378768921,70.78493857383728,77.8814959526062,nu_0.1,
yeast,lof,0.05,0.0001,True,50,10,0.2667,0.1105,0.1562,0.2882,0.3609,0.3205,0.2783,0.3688,0.3172,7.096557378768921,70.78493857383728,77.8814959526062,nu_0.1,
yeast,lof,0.1,0.0001,True,50,10,0.4211,0.0158,0.0304,0.2882,0.3609,0.3205,0.2873,0.3609,0.3199,7.096557378768921,70.78493857383728,77.8814959526062,nu_0.1,
yeast,lof,0,0.0001,True,50,50,0.0000,0.0000,0.0000,0.2882,0.3609,0.3205,0.2882,0.3609,0.3205,7.096557378768921,57.60606336593628,64.7026207447052,nu_0.1,
yeast,lof,0.01,0.0001,True,50,50,0.0000,0.0000,0.0000,0.2882,0.3609,0.3205,0.2882,0.3609,0.3205,7.096557378768921,57.60606336593628,64.7026207447052,nu_0.1,
yeast,lof,0.05,0.0001,True,50,50,0.0000,0.0000,0.0000,0.2882,0.3609,0.3205,0.2882,0.3609,0.3205,7.096557378768921,57.60606336593628,64.7026207447052,nu_0.1,
yeast,lof,0.1,0.0001,True,50,50,0.0000,0.0000,0.0000,0.2882,0.3609,0.3205,0.2882,0.3609,0.3205,7.096557378768921,57.60606336593628,64.7026207447052,nu_0.1,
yeast,lof,0,0.0001,True,50,10,0.3377,0.9684,0.5008,0.2938,0.4398,0.3523,0.3370,0.9684,0.5000,7.121593952178955,70.52065372467041,77.64224767684937,nu_0.5,
yeast,lof,0.01,0.0001,True,50,10,0.3377,0.9684,0.5008,0.2938,0.4398,0.3523,0.3370,0.9684,0.5000,7.121593952178955,70.52065372467041,77.64224767684937,nu_0.5,
yeast,lof,0.05,0.0001,True,50,10,0.3200,0.8047,0.4579,0.2938,0.4398,0.3523,0.3203,0.8383,0.4635,7.121593952178955,70.52065372467041,77.64224767684937,nu_0.5,
yeast,lof,0.1,0.0001,True,50,10,0.2885,0.3176,0.3023,0.2938,0.4398,0.3523,0.2969,0.5404,0.3832,7.121593952178955,70.52065372467041,77.64224767684937,nu_0.5,
yeast,lof,0,0.0001,True,50,50,0.0000,0.0000,0.0000,0.2938,0.4398,0.3523,0.2938,0.4398,0.3523,7.121593952178955,57.86886763572693,64.99046158790588,nu_0.5,
yeast,lof,0.01,0.0001,True,50,50,0.0000,0.0000,0.0000,0.2938,0.4398,0.3523,0.2938,0.4398,0.3523,7.121593952178955,57.86886763572693,64.99046158790588,nu_0.5,
yeast,lof,0.05,0.0001,True,50,50,0.0000,0.0000,0.0000,0.2938,0.4398,0.3523,0.2938,0.4398,0.3523,7.121593952178955,57.86886763572693,64.99046158790588,nu_0.5,
yeast,lof,0.1,0.0001,True,50,50,0.0000,0.0000,0.0000,0.2938,0.4398,0.3523,0.2938,0.4398,0.3523,7.121593952178955,57.86886763572693,64.99046158790588,nu_0.5,
yeast,lof,0,0.0001,True,100,10,0.2563,0.3215,0.2852,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.221577405929565,75.54110479354858,82.76268219947815,nu_0.1,
yeast,lof,0.01,0.0001,True,100,10,0.2563,0.3215,0.2852,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.221577405929565,75.54110479354858,82.76268219947815,nu_0.1,
yeast,lof,0.05,0.0001,True,100,10,0.2561,0.3097,0.2804,0.3401,0.4931,0.4026,0.3096,0.5661,0.4003,7.221577405929565,75.54110479354858,82.76268219947815,nu_0.1,
yeast,lof,0.1,0.0001,True,100,10,0.2936,0.1262,0.1766,0.3401,0.4931,0.4026,0.3287,0.5089,0.3994,7.221577405929565,75.54110479354858,82.76268219947815,nu_0.1,
