dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,ocsvm,0,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3950538635253906,6.841195344924927,9.236249208450317,nu_0.1,
yeast,ocsvm,0.01,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3950538635253906,6.841195344924927,9.236249208450317,nu_0.1,
yeast,ocsvm,0.05,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3950538635253906,6.841195344924927,9.236249208450317,nu_0.1,
yeast,ocsvm,0.1,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3950538635253906,6.841195344924927,9.236249208450317,nu_0.1,
yeast,ocsvm,0,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3950538635253906,5.8942883014678955,8.289342164993286,nu_0.1,
yeast,ocsvm,0.01,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3950538635253906,5.8942883014678955,8.289342164993286,nu_0.1,
yeast,ocsvm,0.05,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3950538635253906,5.8942883014678955,8.289342164993286,nu_0.1,
yeast,ocsvm,0.1,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3950538635253906,5.8942883014678955,8.289342164993286,nu_0.1,
yeast,ocsvm,0,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532212734222412,5.798482656478882,17.330695390701294,nu_0.5,
yeast,ocsvm,0.01,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532212734222412,5.798482656478882,17.330695390701294,nu_0.5,
yeast,ocsvm,0.05,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532212734222412,5.798482656478882,17.330695390701294,nu_0.5,
yeast,ocsvm,0.1,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532212734222412,5.798482656478882,17.330695390701294,nu_0.5,
yeast,ocsvm,0,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532212734222412,5.89548921585083,17.427701950073242,nu_0.5,
yeast,ocsvm,0.01,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532212734222412,5.89548921585083,17.427701950073242,nu_0.5,
yeast,ocsvm,0.05,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532212734222412,5.89548921585083,17.427701950073242,nu_0.5,
yeast,ocsvm,0.1,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.532212734222412,5.89548921585083,17.427701950073242,nu_0.5,
yeast,ocsvm,0,0.0001,True,50,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.347954511642456,62.947712659835815,65.29566717147827,nu_0.1,
yeast,ocsvm,0.01,0.0001,True,50,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.347954511642456,62.947712659835815,65.29566717147827,nu_0.1,
yeast,ocsvm,0.05,0.0001,True,50,10,0.3400,0.9763,0.5043,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.347954511642456,62.947712659835815,65.29566717147827,nu_0.1,
yeast,ocsvm,0.1,0.0001,True,50,10,0.2988,0.5286,0.3818,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.347954511642456,62.947712659835815,65.29566717147827,nu_0.1,
yeast,ocsvm,0,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.347954511642456,57.24703788757324,59.5949923992157,nu_0.1,
yeast,ocsvm,0.01,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.347954511642456,57.24703788757324,59.5949923992157,nu_0.1,
yeast,ocsvm,0.05,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.347954511642456,57.24703788757324,59.5949923992157,nu_0.1,
yeast,ocsvm,0.1,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.347954511642456,57.24703788757324,59.5949923992157,nu_0.1,
yeast,ocsvm,0,0.0001,True,50,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.50239872932434,63.23125505447388,74.73365378379822,nu_0.5,
yeast,ocsvm,0.01,0.0001,True,50,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.50239872932434,63.23125505447388,74.73365378379822,nu_0.5,
yeast,ocsvm,0.05,0.0001,True,50,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.50239872932434,63.23125505447388,74.73365378379822,nu_0.5,
yeast,ocsvm,0.1,0.0001,True,50,10,0.3379,0.9704,0.5013,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.50239872932434,63.23125505447388,74.73365378379822,nu_0.5,
yeast,ocsvm,0,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.50239872932434,57.541762828826904,69.04416155815125,nu_0.5,
yeast,ocsvm,0.01,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.50239872932434,57.541762828826904,69.04416155815125,nu_0.5,
yeast,ocsvm,0.05,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.50239872932434,57.541762828826904,69.04416155815125,nu_0.5,
yeast,ocsvm,0.1,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.50239872932434,57.541762828826904,69.04416155815125,nu_0.5,
yeast,ocsvm,0,0.0001,True,100,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3423264026641846,64.50938081741333,66.85170722007751,nu_0.1,
yeast,ocsvm,0.01,0.0001,True,100,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3423264026641846,64.50938081741333,66.85170722007751,nu_0.1,
yeast,ocsvm,0.05,0.0001,True,100,10,0.3419,1.0000,0.5095,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3423264026641846,64.50938081741333,66.85170722007751,nu_0.1,
yeast,ocsvm,0.1,0.0001,True,100,10,0.3450,0.9941,0.5122,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3423264026641846,64.50938081741333,66.85170722007751,nu_0.1,
yeast,ocsvm,0,0.0001,True,100,50,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3423264026641846,63.14946389198303,65.49179029464722,nu_0.1,
yeast,ocsvm,0.01,0.0001,True,100,50,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3423264026641846,63.14946389198303,65.49179029464722,nu_0.1,
yeast,ocsvm,0.05,0.0001,True,100,50,0.3419,1.0000,0.5095,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3423264026641846,63.14946389198303,65.49179029464722,nu_0.1,
yeast,ocsvm,0.1,0.0001,True,100,50,0.3450,0.9941,0.5122,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3423264026641846,63.14946389198303,65.49179029464722,nu_0.1,
yeast,ocsvm,0,0.0001,True,100,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.689274072647095,67.23599934577942,78.92527341842651,nu_0.5,
yeast,ocsvm,0.01,0.0001,True,100,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.689274072647095,67.23599934577942,78.92527341842651,nu_0.5,
yeast,ocsvm,0.05,0.0001,True,100,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.689274072647095,67.23599934577942,78.92527341842651,nu_0.5,
yeast,ocsvm,0.1,0.0001,True,100,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.689274072647095,67.23599934577942,78.92527341842651,nu_0.5,
yeast,ocsvm,0,0.0001,True,100,50,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.689274072647095,67.97323083877563,79.66250491142273,nu_0.5,
yeast,ocsvm,0.01,0.0001,True,100,50,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.689274072647095,67.97323083877563,79.66250491142273,nu_0.5,
yeast,ocsvm,0.05,0.0001,True,100,50,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.689274072647095,67.97323083877563,79.66250491142273,nu_0.5,
yeast,ocsvm,0.1,0.0001,True,100,50,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,11.689274072647095,67.97323083877563,79.66250491142273,nu_0.5,
yeast,ocsvm,0,0.0001,True,300,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3721518516540527,74.6199700832367,76.99212193489075,nu_0.1,
yeast,ocsvm,0.01,0.0001,True,300,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3721518516540527,74.6199700832367,76.99212193489075,nu_0.1,
yeast,ocsvm,0.05,0.0001,True,300,10,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3721518516540527,74.6199700832367,76.99212193489075,nu_0.1,
yeast,ocsvm,0.1,0.0001,True,300,10,0.3419,1.0000,0.5095,0.3416,1.0000,0.5093,0.3416,1.0000,0.5093,2.3721518516540527,74.6199700832367,76.99212193489075,nu_0.1,
