dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,isf,0,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,4.24582052230835,6.341726303100586,10.587546825408936,nu_0.1,
yeast,isf,0.01,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,4.24582052230835,6.341726303100586,10.587546825408936,nu_0.1,
yeast,isf,0.05,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,4.24582052230835,6.341726303100586,10.587546825408936,nu_0.1,
yeast,isf,0.1,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,4.24582052230835,6.341726303100586,10.587546825408936,nu_0.1,
yeast,isf,0,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,4.24582052230835,5.9689929485321045,10.214813470840454,nu_0.1,
yeast,isf,0.01,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,4.24582052230835,5.9689929485321045,10.214813470840454,nu_0.1,
yeast,isf,0.05,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,4.24582052230835,5.9689929485321045,10.214813470840454,nu_0.1,
yeast,isf,0.1,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,4.24582052230835,5.9689929485321045,10.214813470840454,nu_0.1,
yeast,isf,0,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,3.699920654296875,6.053096294403076,9.753016948699951,nu_0.5,
yeast,isf,0.01,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,3.699920654296875,6.053096294403076,9.753016948699951,nu_0.5,
yeast,isf,0.05,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,3.699920654296875,6.053096294403076,9.753016948699951,nu_0.5,
yeast,isf,0.1,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,3.699920654296875,6.053096294403076,9.753016948699951,nu_0.5,
yeast,isf,0,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,3.699920654296875,5.984090805053711,9.684011459350586,nu_0.5,
yeast,isf,0.01,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,3.699920654296875,5.984090805053711,9.684011459350586,nu_0.5,
yeast,isf,0.05,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,3.699920654296875,5.984090805053711,9.684011459350586,nu_0.5,
yeast,isf,0.1,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3381,0.9783,0.5025,0.3381,0.9783,0.5025,3.699920654296875,5.984090805053711,9.684011459350586,nu_0.5,
yeast,isf,0,0.0001,True,50,10,0.2847,0.4576,0.3510,0.3008,0.4556,0.3624,0.2979,0.5740,0.3922,3.7366368770599365,1397.4842851161957,1401.2209219932556,nu_0.1,
yeast,isf,0.01,0.0001,True,50,10,0.2760,0.3984,0.3261,0.3008,0.4556,0.3624,0.2956,0.5464,0.3837,3.7366368770599365,1397.4842851161957,1401.2209219932556,nu_0.1,
yeast,isf,0.05,0.0001,True,50,10,0.2748,0.1203,0.1674,0.3008,0.4556,0.3624,0.2947,0.4615,0.3597,3.7366368770599365,1397.4842851161957,1401.2209219932556,nu_0.1,
yeast,isf,0.1,0.0001,True,50,10,0.3077,0.0158,0.0300,0.3008,0.4556,0.3624,0.3000,0.4556,0.3618,3.7366368770599365,1397.4842851161957,1401.2209219932556,nu_0.1,
yeast,isf,0,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,3.7366368770599365,57.670984745025635,61.40762162208557,nu_0.1,
yeast,isf,0.01,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,3.7366368770599365,57.670984745025635,61.40762162208557,nu_0.1,
yeast,isf,0.05,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,3.7366368770599365,57.670984745025635,61.40762162208557,nu_0.1,
yeast,isf,0.1,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3008,0.4556,0.3624,0.3008,0.4556,0.3624,3.7366368770599365,57.670984745025635,61.40762162208557,nu_0.1,
yeast,isf,0,0.0001,True,50,10,0.3396,0.9901,0.5058,0.3381,0.9822,0.5030,0.3416,1.0000,0.5093,3.795715570449829,1390.6782319545746,1394.4739475250244,nu_0.5,
yeast,isf,0.01,0.0001,True,50,10,0.3388,0.9783,0.5033,0.3381,0.9822,0.5030,0.3412,0.9980,0.5085,3.795715570449829,1390.6782319545746,1394.4739475250244,nu_0.5,
yeast,isf,0.05,0.0001,True,50,10,0.3258,0.8540,0.4717,0.3381,0.9822,0.5030,0.3394,0.9901,0.5055,3.795715570449829,1390.6782319545746,1394.4739475250244,nu_0.5,
yeast,isf,0.1,0.0001,True,50,10,0.2666,0.3886,0.3162,0.3381,0.9822,0.5030,0.3381,0.9822,0.5030,3.795715570449829,1390.6782319545746,1394.4739475250244,nu_0.5,
yeast,isf,0,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3381,0.9822,0.5030,0.3381,0.9822,0.5030,3.795715570449829,57.60249924659729,61.39821481704712,nu_0.5,
yeast,isf,0.01,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3381,0.9822,0.5030,0.3381,0.9822,0.5030,3.795715570449829,57.60249924659729,61.39821481704712,nu_0.5,
yeast,isf,0.05,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3381,0.9822,0.5030,0.3381,0.9822,0.5030,3.795715570449829,57.60249924659729,61.39821481704712,nu_0.5,
yeast,isf,0.1,0.0001,True,50,50,0.0000,0.0000,0.0000,0.3381,0.9822,0.5030,0.3381,0.9822,0.5030,3.795715570449829,57.60249924659729,61.39821481704712,nu_0.5,
yeast,isf,0,0.0001,True,100,10,0.2765,0.4734,0.3491,0.2896,0.4359,0.3480,0.2834,0.5523,0.3746,3.8185067176818848,1449.643973350525,1453.4624800682068,nu_0.1,
yeast,isf,0.01,0.0001,True,100,10,0.2773,0.4063,0.3296,0.2896,0.4359,0.3480,0.2874,0.5187,0.3699,3.8185067176818848,1449.643973350525,1453.4624800682068,nu_0.1,
yeast,isf,0.05,0.0001,True,100,10,0.2681,0.3294,0.2956,0.2896,0.4359,0.3480,0.2854,0.4813,0.3583,3.8185067176818848,1449.643973350525,1453.4624800682068,nu_0.1,
yeast,isf,0.1,0.0001,True,100,10,0.2703,0.1183,0.1646,0.2896,0.4359,0.3480,0.2848,0.4359,0.3445,3.8185067176818848,1449.643973350525,1453.4624800682068,nu_0.1,
yeast,isf,0,0.0001,True,100,50,0.2742,0.4694,0.3462,0.2896,0.4359,0.3480,0.2841,0.5542,0.3757,3.8185067176818848,1465.4662675857544,1469.2847743034363,nu_0.1,
yeast,isf,0.01,0.0001,True,100,50,0.2738,0.4024,0.3259,0.2896,0.4359,0.3480,0.2865,0.5187,0.3691,3.8185067176818848,1465.4662675857544,1469.2847743034363,nu_0.1,
yeast,isf,0.05,0.0001,True,100,50,0.2697,0.3314,0.2973,0.2896,0.4359,0.3480,0.2855,0.4832,0.3590,3.8185067176818848,1465.4662675857544,1469.2847743034363,nu_0.1,
yeast,isf,0.1,0.0001,True,100,50,0.2682,0.1164,0.1623,0.2896,0.4359,0.3480,0.2852,0.4359,0.3448,3.8185067176818848,1465.4662675857544,1469.2847743034363,nu_0.1,
yeast,isf,0,0.0001,True,100,10,0.3401,0.9921,0.5065,0.3390,0.9842,0.5043,0.3414,0.9980,0.5088,3.641230583190918,1495.6420345306396,1499.2832651138306,nu_0.5,
yeast,isf,0.01,0.0001,True,100,10,0.3370,0.9763,0.5010,0.3390,0.9842,0.5043,0.3414,0.9980,0.5088,3.641230583190918,1495.6420345306396,1499.2832651138306,nu_0.5,
yeast,isf,0.05,0.0001,True,100,10,0.3313,0.9487,0.4911,0.3390,0.9842,0.5043,0.3410,0.9961,0.5080,3.641230583190918,1495.6420345306396,1499.2832651138306,nu_0.5,
yeast,isf,0.1,0.0001,True,100,10,0.3196,0.8402,0.4630,0.3390,0.9842,0.5043,0.3392,0.9882,0.5050,3.641230583190918,1495.6420345306396,1499.2832651138306,nu_0.5,
yeast,isf,0,0.0001,True,100,50,0.3405,0.9941,0.5073,0.3390,0.9842,0.5043,0.3414,0.9980,0.5088,3.641230583190918,1493.9300632476807,1497.5712938308716,nu_0.5,
yeast,isf,0.01,0.0001,True,100,50,0.3361,0.9744,0.4997,0.3390,0.9842,0.5043,0.3414,0.9980,0.5088,3.641230583190918,1493.9300632476807,1497.5712938308716,nu_0.5,
yeast,isf,0.05,0.0001,True,100,50,0.3313,0.9487,0.4911,0.3390,0.9842,0.5043,0.3410,0.9961,0.5080,3.641230583190918,1493.9300632476807,1497.5712938308716,nu_0.5,
yeast,isf,0.1,0.0001,True,100,50,0.3186,0.8363,0.4614,0.3390,0.9842,0.5043,0.3388,0.9862,0.5043,3.641230583190918,1493.9300632476807,1497.5712938308716,nu_0.5,
yeast,isf,0,0.0001,True,300,10,0.2796,0.4990,0.3584,0.3067,0.4536,0.3660,0.2961,0.5700,0.3898,3.9887287616729736,1699.0236299037933,1703.0123586654663,nu_0.1,
yeast,isf,0.01,0.0001,True,300,10,0.2841,0.4517,0.3488,0.3067,0.4536,0.3660,0.2993,0.5325,0.3833,3.9887287616729736,1699.0236299037933,1703.0123586654663,nu_0.1,
yeast,isf,0.05,0.0001,True,300,10,0.2762,0.3945,0.3249,0.3067,0.4536,0.3660,0.2958,0.4970,0.3709,3.9887287616729736,1699.0236299037933,1703.0123586654663,nu_0.1,
yeast,isf,0.1,0.0001,True,300,10,0.2739,0.3669,0.3137,0.3067,0.4536,0.3660,0.2984,0.4892,0.3707,3.9887287616729736,1699.0236299037933,1703.0123586654663,nu_0.1,
yeast,isf,0,0.0001,True,300,50,0.2783,0.4951,0.3563,0.3067,0.4536,0.3660,0.2951,0.5680,0.3884,3.9887287616729736,1695.5366897583008,1699.5254185199738,nu_0.1,
yeast,isf,0.01,0.0001,True,300,50,0.2809,0.4438,0.3440,0.3067,0.4536,0.3660,0.2965,0.5247,0.3789,3.9887287616729736,1695.5366897583008,1699.5254185199738,nu_0.1,
yeast,isf,0.05,0.0001,True,300,50,0.2742,0.3905,0.3222,0.3067,0.4536,0.3660,0.2938,0.4931,0.3682,3.9887287616729736,1695.5366897583008,1699.5254185199738,nu_0.1,
yeast,isf,0.1,0.0001,True,300,50,0.2756,0.3669,0.3147,0.3067,0.4536,0.3660,0.2995,0.4892,0.3715,3.9887287616729736,1695.5366897583008,1699.5254185199738,nu_0.1,
yeast,isf,0,0.0001,True,300,10,0.3408,0.9961,0.5078,0.3374,0.9783,0.5018,0.3412,0.9980,0.5085,4.026710271835327,1694.7120399475098,1698.738750219345,nu_0.5,
