dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,lof,0,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.461933135986328,7.061803340911865,14.523736476898193,nu_0.1,
yeast,lof,0.01,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.461933135986328,7.061803340911865,14.523736476898193,nu_0.1,
yeast,lof,0.05,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.461933135986328,7.061803340911865,14.523736476898193,nu_0.1,
yeast,lof,0.1,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.461933135986328,7.061803340911865,14.523736476898193,nu_0.1,
yeast,lof,0,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.461933135986328,6.214160442352295,13.676093578338623,nu_0.1,
yeast,lof,0.01,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.461933135986328,6.214160442352295,13.676093578338623,nu_0.1,
yeast,lof,0.05,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.461933135986328,6.214160442352295,13.676093578338623,nu_0.1,
yeast,lof,0.1,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3152,0.4339,0.3651,0.3152,0.4339,0.3651,7.461933135986328,6.214160442352295,13.676093578338623,nu_0.1,
yeast,lof,0,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.532541036605835,6.188574552536011,13.721115589141846,nu_0.5,
yeast,lof,0.01,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.532541036605835,6.188574552536011,13.721115589141846,nu_0.5,
yeast,lof,0.05,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.532541036605835,6.188574552536011,13.721115589141846,nu_0.5,
yeast,lof,0.1,1e-06,False,300,10,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.532541036605835,6.188574552536011,13.721115589141846,nu_0.5,
yeast,lof,0,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.532541036605835,5.807972431182861,13.340513467788696,nu_0.5,
yeast,lof,0.01,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.532541036605835,5.807972431182861,13.340513467788696,nu_0.5,
yeast,lof,0.05,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.532541036605835,5.807972431182861,13.340513467788696,nu_0.5,
yeast,lof,0.1,1e-06,False,300,50,0.0000,0.0000,0.0000,0.3388,0.9704,0.5023,0.3388,0.9704,0.5023,7.532541036605835,5.807972431182861,13.340513467788696,nu_0.5,
yeast,lof,0,0.0001,True,50,10,0.2567,0.3195,0.2847,0.2882,0.3609,0.3205,0.2791,0.4734,0.3511,7.198464632034302,21.080276012420654,28.278740644454956,nu_0.1,
yeast,lof,0.01,0.0001,True,50,10,0.2567,0.3195,0.2847,0.2882,0.3609,0.3205,0.2791,0.4734,0.3511,7.198464632034302,21.080276012420654,28.278740644454956,nu_0.1,
yeast,lof,0.05,0.0001,True,50,10,0.2692,0.1105,0.1566,0.2882,0.3609,0.3205,0.2783,0.3688,0.3172,7.198464632034302,21.080276012420654,28.278740644454956,nu_0.1,
