dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,ocsvm,0,1.00E-06,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.642143011,5.45909667,7.101239681,nu_0.1
yeast,ocsvm,0.01,1.00E-06,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.642143011,5.45909667,7.101239681,nu_0.1
yeast,ocsvm,0.05,1.00E-06,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.642143011,5.45909667,7.101239681,nu_0.1
yeast,ocsvm,0.1,1.00E-06,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.642143011,5.45909667,7.101239681,nu_0.1
yeast,ocsvm,0,1.00E-06,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.642143011,5.151111841,6.793254852,nu_0.1
yeast,ocsvm,0.01,1.00E-06,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.642143011,5.151111841,6.793254852,nu_0.1
yeast,ocsvm,0.05,1.00E-06,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.642143011,5.151111841,6.793254852,nu_0.1
yeast,ocsvm,0.1,1.00E-06,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.642143011,5.151111841,6.793254852,nu_0.1
yeast,ocsvm,0,1.00E-06,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.972556114,5.867447853,13.84000397,nu_0.5
yeast,ocsvm,0.01,1.00E-06,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.972556114,5.867447853,13.84000397,nu_0.5
yeast,ocsvm,0.05,1.00E-06,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.972556114,5.867447853,13.84000397,nu_0.5
yeast,ocsvm,0.1,1.00E-06,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.972556114,5.867447853,13.84000397,nu_0.5
yeast,ocsvm,0,1.00E-06,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.972556114,5.934226036,13.90678215,nu_0.5
yeast,ocsvm,0.01,1.00E-06,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.972556114,5.934226036,13.90678215,nu_0.5
yeast,ocsvm,0.05,1.00E-06,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.972556114,5.934226036,13.90678215,nu_0.5
yeast,ocsvm,0.1,1.00E-06,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.972556114,5.934226036,13.90678215,nu_0.5
yeast,ocsvm,0,0.0001,TRUE,50,10,0.3191,0.7377,0.445495969,0.3416,1,0.5093,0.3416,1,0.5092,1.637083054,12.69792008,14.33500314,nu_0.1
yeast,ocsvm,0.01,0.0001,TRUE,50,10,0.3191,0.7377,0.445495969,0.3416,1,0.5093,0.3416,1,0.5092,1.637083054,12.69792008,14.33500314,nu_0.1
yeast,ocsvm,0.05,0.0001,TRUE,50,10,0.3213,0.3846,0.350111857,0.3416,1,0.5093,0.3416,1,0.5092,1.637083054,12.69792008,14.33500314,nu_0.1
yeast,ocsvm,0.1,0.0001,TRUE,50,10,0.2364,0.0256,0.046197252,0.3416,1,0.5093,0.3416,1,0.5092,1.637083054,12.69792008,14.33500314,nu_0.1
yeast,ocsvm,0,0.0001,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.637083054,5.064649105,6.701732159,nu_0.1
yeast,ocsvm,0.01,0.0001,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.637083054,5.064649105,6.701732159,nu_0.1
