,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
ProviderNumber,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalName,0.9454835880211114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Address1,0.9396508872972325,0.5582139781639784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City,0.8039545717097596,0.47970388416834614,0.26383760042245863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State,0.019041426925853495,0.014042730031500873,-0.01038557774121329,0.0350477421860295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZipCode,0.9142142903248793,0.5467747831870143,0.28243221297011767,0.1697787793508066,0.00030841267573259194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CountyName,0.6988277486811553,0.41706586199188495,0.2108372266686135,0.697337421919839,0.00874898563775445,0.08860401722996461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhoneNumber,0.9356743132948657,0.5498951114256946,0.3238496130912432,0.05186524480889761,0.0019138585101809553,0.11455364296223987,-0.0035023992521445034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalType,-1.0643288623810185e-05,0.012895939485459817,-0.002809608931901341,-0.001540240856876195,-0.011721259504474597,0.007467298028425318,-0.006385848289605217,-0.03282983782963286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalOwner,0.3054040934955017,0.17711396638461183,0.09659490358653958,0.07159688143039845,0.005218954803696162,-0.0013225450788716378,0.024597899503364114,0.07700736509211396,-0.011843602767668139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EmergencyService,0.07829921541529034,0.05337476354341999,0.020442597424313366,0.06492764288595256,-0.031612955659708016,0.025154434405198135,0.09074003189074363,0.008656762414790445,-0.019666630168986787,-0.008453340730761986,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Condition,-0.0070270526406023,-0.009890793264144137,-0.00888903458692171,0.0018306576566946018,0.0003625823835683776,-0.001637472798475817,0.0038674511619482496,-0.004674810525957542,-0.0010490284731415735,0.0004623614199155399,-0.004993071932198142,1.0,0.0,0.0,0.0,0.0,0.0
MeasureCode,-0.029069879931149522,-0.01665073548619468,-0.009245341047838073,-0.0009499591473979094,-0.0021127665548960756,-0.004417096821741572,-3.28500457724532e-05,-0.005626709998660588,0.0013945480828944127,-0.00041319501049389497,0.0009796715423034102,0.3144072045200427,1.0,0.0,0.0,0.0,0.0
MeasureName,-0.028886524754760126,-0.01654571273435212,-0.009187027040726494,-0.001998737269601939,0.00028431602201122206,-0.0037412770335815007,0.0019033010113492916,-0.005508324365048783,0.0045568159945028955,0.0005709990537008413,0.0004936924241032019,0.31332081050180827,0.9268841689717268,1.0,0.0,0.0,0.0
Score,0.028138831404418013,0.01827778529561042,-0.008820049947121095,-0.01843669522820736,0.008132783766492825,0.0033844742971929735,0.006004377110959294,0.005940802262280328,-0.004709200641681496,0.01867563893884533,0.0028132827152387257,0.037628869535339296,0.04803185515654304,0.007835019984035817,1.0,0.0,0.0
Sample,0.05122948735193129,0.04034193829530011,-0.007776028300179224,-0.024343285722558325,0.0022892708135451136,0.02406404084363678,0.010087780382537713,0.014513118669755722,-0.014866950768491384,0.0019590931236843417,-0.03048246831653739,0.08144912607445008,0.03828480067818744,0.04152282439876877,0.3313188767637218,1.0,0.0
Stateavg,-0.02850744802111056,-0.016328584001778182,-0.00906646604248982,-0.000300553980182189,0.025264158925635938,-0.003591929623786794,0.0010317163581779671,-0.006398066367094298,0.000973008855806723,-0.000713165140494826,-0.0015985981835592918,0.3086572460164531,0.9166642250103484,0.4296898063928956,0.00299784159914651,0.0012115043661035515,1.0
