,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
ProviderNumber,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalName,0.48600550433114326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Address1,0.474791379120011,0.33215395825512006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City,0.45732127142009144,0.32059252967492713,0.23230945206500533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZipCode,0.4718812919090552,0.33069402675247433,0.23760002011942302,0.16936332673480822,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CountyName,0.4370452308610967,0.30676705943442356,0.21901701735082113,0.4323492396644366,0.0,0.13289539407077294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhoneNumber,0.4671420674631517,0.32611721176527897,0.2390683632843879,0.1223202251153488,0.0,0.1503256326004133,0.039172297114830765,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalType,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalOwner,0.32332345418933117,0.22742552351180334,0.16222182090625245,0.13465609476814305,0.0,0.08406819373951223,0.06304397359983234,0.0954718074024041,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EmergencyService,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Condition,-0.004759207972018982,-0.0029754445364965306,-0.0017409606002165452,-0.0013413826134617344,0.0,-0.000547626129773855,-9.961186110347777e-05,-1.5177318750736774e-05,0.0,-8.476467553451098e-21,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MeasureCode,-0.006239863085002332,-0.003900861749222893,-0.0022821776089899264,-0.001758461773300021,0.0,-0.0007180296306186969,-0.00013064223832931414,-1.989931374734302e-05,0.0,-4.034084879282022e-21,0.0,0.08279853441745529,1.0,0.0,0.0,0.0,0.0
MeasureName,-0.005108352893322835,-0.003193628820370982,-0.0018685384789801722,-0.0014397067509124507,0.0,-0.000587814805819196,-0.00010693449953810838,-1.629080570499601e-05,0.0,6.906062645452823e-20,0.0,0.08152237581258538,0.6292437144053368,1.0,0.0,0.0,0.0
Score,2.5208458239124678e-05,1.5761992613755832e-05,9.199856098748302e-06,7.099154393466691e-06,0.0,2.9070672840213838e-06,5.317989270771978e-07,8.058019286176689e-08,0.0,-1.600570475883739e-23,0.0,3.994406149461332e-06,2.659950116998784e-05,8.00748330549428e-06,1.0,0.0,0.0
Sample,9.713099975831264e-07,6.073271464024307e-07,3.544807112071368e-07,2.735383327036745e-07,0.0,1.1201254316435512e-07,2.049080549370401e-08,3.1048446593347825e-09,0.0,-6.532728086121582e-24,0.0,1.5390892178235932e-07,1.024908432402028e-06,3.085372582617983e-07,0.038531114769867564,1.0,0.0
Stateavg,-0.004303076918617541,-0.002690128048082735,-0.0015738925309437349,-0.0012126996667906555,0.0,-0.0004951568424507488,-9.00854052458256e-05,-1.372276137654045e-05,0.0,-3.671194394893367e-20,0.0,0.07786848297917966,0.6081999558708375,0.36188946734491145,-5.34417804867418e-22,4.628244733165329e-22,1.0
