,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
ProviderNumber,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalName,0.6254210634069434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Address1,0.6809361515449965,0.41513525176906574,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City,0.7626895261362392,0.3850739249764683,0.2866866468156454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State,0.06398391988365464,-0.018689564313270478,0.06518823635444758,-0.07819820298446793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZipCode,0.7572814090522975,0.376542030195204,0.3132641597426581,0.48527564669762985,-0.007972423663002616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CountyName,0.7361032229135562,0.36769052385105794,0.2873787156863369,0.5474567450351745,-0.010073584185903324,0.2674358292781522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhoneNumber,0.7577185992670197,0.3850140233240803,0.3520819048999288,0.43951099144876915,0.01670890419761425,0.29261166959383433,0.1572264248101669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalType,0.014220538840376726,0.0043612405788575155,0.023815314579174435,-0.0331149694349902,-0.01606757325708194,-0.017447199332697637,-0.012554540801605599,-0.0447028992814351,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HospitalOwner,0.4333819614811578,0.17562476654836884,0.188229892900636,0.24844769011179166,0.024639956612442993,0.277655163858513,0.08807025271269969,0.1469526083039055,-0.004538686700365882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EmergencyService,0.2973313294840698,0.2127552957247272,0.14756717046745743,0.03810903243073688,-0.006653876490424328,0.07402539503691055,0.009221982938348576,-0.009367318730730352,-6.0384689050504395e-05,0.02646924453340685,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Condition,0.03293782475341221,0.021781850764541776,0.0466889200058215,0.022683586595215178,0.005279340695753332,0.012492263762154326,0.065329465616072,0.04688618207515075,-0.00267639467342875,-0.014353113655371428,-0.028267933585850814,1.0,0.0,0.0,0.0,0.0,0.0
MeasureCode,-0.21628467940920845,-0.09178447789573192,-0.04891923423912659,-0.12069513441186909,0.007866928984075316,-0.08616285823801736,0.003034077262037293,-0.023865937722248168,-0.003734925170845129,-0.030563274666123096,-0.016329984744274603,0.6647242151607257,1.0,0.0,0.0,0.0,0.0
MeasureName,-0.11254760226832503,-0.03584242424666596,0.00701891662782691,-0.06843925943844785,0.02082840587772606,-0.014959734611946003,-0.00033263932016294485,0.055182990836221295,0.01256097015528844,-0.013454551023244096,-0.016372324023504504,0.44250450745358993,0.34602657797118536,1.0,0.0,0.0,0.0
Score,-0.023594649390389567,-0.009932932899653852,-0.021664854617158582,-0.027962984007179104,-0.0005403859207132201,-0.029208806919681907,0.024617443522658995,0.05215385390099235,-0.0018476302609211342,-0.02500226401143687,0.008650702430667413,0.03163052301829404,0.00024589981469156025,-0.027726715653118777,1.0,0.0,0.0
Sample,0.10605493952626166,0.04135958228507366,0.08526764340735077,-0.0016665698055386283,-0.017057251525273046,0.00291563772739455,0.07924834437560625,0.08264470440760992,0.04296444926373469,-0.04543955524072566,0.026620589385593998,0.01732768304955632,-0.022737365341683795,0.0004202995179931953,0.06920706199714839,1.0,0.0
Stateavg,-0.1148815541534011,-0.05633458214811242,-0.0004899550491253896,-0.1290665453741745,0.03953039495966461,-0.06397159349657071,0.011322777252912284,-0.00484291679604574,-0.016704797193218202,-0.006743614312660414,-0.02449216374317016,0.7581288750795916,0.43485771177951027,0.08236516251165335,-0.024389746580146466,0.018717454789716908,1.0
